love,sex,6.77,Love,Sex
tiger,cat,7.35,Tiger,Cat
tiger,tiger,10.00,Tiger,Tiger
book,paper,7.46,Book,Paper
computer,keyboard,7.62,Computer,Computer_keyboard
computer,internet,7.58,Computer,Internet
plane,car,5.77,Airplane,Car
train,car,6.31,Train,Car
telephone,communication,7.50,Telephone,Communication
television,radio,6.77,Television,Radio
media,radio,7.42,Media_(communication),Radio
drug,abuse,6.85,Drug,Abuse
bread,butter,6.19,Bread,Butter
cucumber,potato,5.92,Cucumber,Potato
doctor,nurse,7.00,Doctor_(title),Nursing
professor,doctor,6.62,Professor,Doctor_(title)
student,professor,6.81,Student,Professor
smart,student,4.62,Intelligence,Student
smart,stupid,5.81,Intelligence,Stupidity
company,stock,7.08,Company,Stock
stock,market,8.08,Stock,Market_(economics)
stock,phone,1.62,Stock,Telephone
stock,CD,1.31,Stock,Compact_disc
stock,jaguar,0.92,Stock,Jaguar
stock,egg,1.81,Stock,Egg
fertility,egg,6.69,Fertility,Egg
stock,live,3.73,Stock,Live_television
stock,life,0.92,Stock,Life
book,library,7.46,Book,Library
bank,money,8.12,Bank,Money
wood,forest,7.73,Wood,Forest
money,cash,9.15,Money,Cash
professor,cucumber,0.31,Professor,Cucumber
king,cabbage,0.23,Monarch,Cabbage
king,queen,8.58,Monarch,Queen_regnant
king,rook,5.92,Monarch,Rook_(bird)
bishop,rabbi,6.69,Bishop,Rabbi
Jerusalem,Israel,8.46,Jerusalem,Israel
Jerusalem,Palestinian,7.65,Jerusalem,Palestinian_people
holy,sex,1.62,Sacred,Sex
fuck,sex,9.44,Fuck,Sex
Maradona,football,8.62,Diego_Maradona,Football
football,soccer,9.03,Football,Association_football
football,basketball,6.81,Football,Basketball
football,tennis,6.63,Football,Tennis
tennis,racket,7.56,Tennis,Racket_(sports_equipment)
Arafat,peace,6.73,Yasser_Arafat,Peace
Arafat,terror,7.65,Yasser_Arafat,Terror
Arafat,Jackson,2.50,Yasser_Arafat,Michael_Jackson
law,lawyer,8.38,Law,Lawyer
movie,star,7.38,Film,Star
movie,popcorn,6.19,Film,Popcorn
movie,critic,6.73,Film,Critic
movie,theater,7.92,Film,Theatre
physics,proton,8.12,Physics,Proton
physics,chemistry,7.35,Physics,Chemistry
space,chemistry,4.88,Space,Chemistry
alcohol,chemistry,5.54,Alcohol,Chemistry
vodka,gin,8.46,Vodka,Gin
vodka,brandy,8.13,Vodka,Brandy
drink,car,3.04,Drink,Car
drink,ear,1.31,Drink,Ear
drink,mouth,5.96,Drink,Mouth
drink,eat,6.87,Drink,Eating
baby,mother,7.85,Infant,Mother
drink,mother,2.65,Drink,Mother
car,automobile,8.94,Car,Car
gem,jewel,8.96,Gemstone,Gemstone
journey,voyage,9.29,Travel,Travel
boy,lad,8.83,Boy,Boy
coast,shore,9.10,Coast,Shore
asylum,madhouse,8.87,Right_of_asylum,Psychiatric_hospital
magician,wizard,9.02,Magician_(paranormal),Magician_(fantasy)
midday,noon,9.29,Noon,Noon
furnace,stove,8.79,Furnace,Stove
food,fruit,7.52,Food,Fruit
bird,cock,7.10,Bird,Rooster
bird,crane,7.38,Bird,Crane_(bird)
tool,implement,6.46,Tool,Implementation
brother,monk,6.27,Brother,Monk
crane,implement,2.69,Crane_(bird),Implementation
lad,brother,4.46,Boy,Brother
journey,car,5.85,Travel,Car
monk,oracle,5.00,Monk,Oracle
cemetery,woodland,2.08,Cemetery,Woodland
food,rooster,4.42,Food,Rooster
coast,hill,4.38,Coast,Hill
forest,graveyard,1.85,Forest,Cemetery
shore,woodland,3.08,Shore,Woodland
monk,slave,0.92,Monk,Slavery
coast,forest,3.15,Coast,Forest
lad,wizard,0.92,Boy,Magician_(fantasy)
chord,smile,0.54,Chord_(music),Smile
glass,magician,2.08,Glass,Magician_(paranormal)
noon,string,0.54,Noon,String_(music)
rooster,voyage,0.62,Rooster,Travel
money,dollar,8.42,Money,Dollar
money,cash,9.08,Money,Cash
money,currency,9.04,Money,Currency
money,wealth,8.27,Money,Wealth
money,property,7.57,Money,Property
money,possession,7.29,Money,Ownership
money,bank,8.50,Money,Bank
money,deposit,7.73,Money,Deposit_(finance)
money,withdrawal,6.88,Money,Drug_withdrawal
money,laundering,5.65,Money,Money_laundering
money,operation,3.31,Money,Operation_(mathematics)
tiger,jaguar,8.00,Tiger,Jaguar
tiger,feline,8.00,Tiger,Felidae
tiger,carnivore,7.08,Tiger,Carnivore
tiger,mammal,6.85,Tiger,Mammal
tiger,animal,7.00,Tiger,Animal
tiger,organism,4.77,Tiger,Organism
tiger,fauna,5.62,Tiger,Fauna
tiger,zoo,5.87,Tiger,Zoo
psychology,psychiatry,8.08,Psychology,Psychiatry
psychology,anxiety,7.00,Psychology,Anxiety
psychology,fear,6.85,Psychology,Fear
psychology,depression,7.42,Psychology,Depression_(mood)
psychology,clinic,6.58,Psychology,Clinic
psychology,doctor,6.42,Psychology,Doctor_(title)
psychology,Freud,8.21,Psychology,Sigmund_Freud
psychology,mind,7.69,Psychology,Mind
psychology,health,7.23,Psychology,Health
psychology,science,6.71,Psychology,Science
psychology,discipline,5.58,Psychology,Discipline
psychology,cognition,7.48,Psychology,Cognition
planet,star,8.45,Planet,Star
planet,constellation,8.06,Planet,Constellation
planet,moon,8.08,Planet,Moon
planet,sun,8.02,Planet,Sun
planet,galaxy,8.11,Planet,Galaxy
planet,space,7.92,Planet,Space
planet,astronomer,7.94,Planet,Astronomer
precedent,example,5.85,Precedent,Exemplar_theory
precedent,information,3.85,Precedent,Information
precedent,cognition,2.81,Precedent,Cognition
precedent,law,6.65,Precedent,Law
precedent,collection,2.50,Precedent,Collecting
precedent,group,1.77,Precedent,Social_group
precedent,antecedent,6.04,Precedent,Antecedent_(grammar)
cup,coffee,6.58,Cup,Coffee
cup,tableware,6.85,Cup,Tableware
cup,article,2.40,Cup,Article_(publishing)
cup,artifact,2.92,Cup,Artifact_(archaeology)
cup,object,3.69,Cup,Object_(philosophy)
cup,entity,2.15,Cup,Entity
cup,drink,7.25,Cup,Drink
cup,food,5.00,Cup,Food
cup,substance,1.92,Cup,Chemical_substance
cup,liquid,5.90,Cup,Liquid
jaguar,cat,7.42,Jaguar,Cat
jaguar,car,7.27,Jaguar,Car
energy,secretary,1.81,Energy,Secretary
secretary,senate,5.06,Secretary,Senate
energy,laboratory,5.09,Energy,Laboratory
computer,laboratory,6.78,Computer,Laboratory
weapon,secret,6.06,Weapon,Secrecy
FBI,fingerprint,6.94,Federal_Bureau_of_Investigation,Fingerprint
FBI,investigation,8.31,Federal_Bureau_of_Investigation,Criminal_investigation
investigation,effort,4.59,Criminal_investigation,Effortfulness
Mars,water,2.94,Mars,Water
Mars,scientist,5.63,Mars,Scientist
news,report,8.16,News,Report
canyon,landscape,7.53,Canyon,Landscape
image,surface,4.56,Image,Surface
discovery,space,6.34,Discovery_(observation),Space
water,seepage,6.56,Water,Soil_mechanics
sign,recess,2.38,Sign,Recess_(break)
Wednesday,news,2.22,Wednesday,News
mile,kilometer,8.66,Mile,Kilometre
computer,news,4.47,Computer,News
territory,surface,5.34,Sales_territory,Surface
atmosphere,landscape,3.69,Atmosphere,Landscape
president,medal,3.00,President,Medal
war,troops,8.13,War,Troop
record,number,6.31,Recording,Number
skin,eye,6.22,Skin,Eye
Japanese,American,6.50,Japanese_people,American
theater,history,3.91,Theatre,History
volunteer,motto,2.56,Volunteering,Motto
prejudice,recognition,3.00,Prejudice,Pattern_recognition
decoration,valor,5.63,Decorative_arts,Courage
century,year,7.59,Century,Year
century,nation,3.16,Century,Nation
delay,racism,1.19,Latency_(engineering),Racism
delay,news,3.31,Latency_(engineering),News
minister,party,6.63,Minister_(government),Party
peace,plan,4.75,Peace,Plan
minority,peace,3.69,Minority_group,Peace
attempt,peace,4.25,Attempt,Peace
government,crisis,6.56,Government,Crisis
deployment,departure,4.25,Military_deployment,Takeoff
deployment,withdrawal,5.88,Military_deployment,Drug_withdrawal
energy,crisis,5.94,Energy,Crisis
announcement,news,7.56,Public_service_announcement,News
announcement,effort,2.75,Public_service_announcement,Effortfulness
stroke,hospital,7.03,Stroke,Hospital
disability,death,5.47,Disability,Death
victim,emergency,6.47,Victimology,Emergency
treatment,recovery,7.91,Medical_case_management,Healing
journal,association,4.97,Journal,Trade_association
doctor,personnel,5.00,Doctor_(title),Employment
doctor,liability,5.19,Doctor_(title),Liability_(financial_accounting)
liability,insurance,7.03,Liability_(financial_accounting),Insurance
school,center,3.44,School,Centre_(geometry)
reason,hypertension,2.31,Reason,Hypertension
reason,criterion,5.91,Reason,Criterion_validity
hundred,percent,7.38,100_(number),Percentage
Harvard,Yale,8.13,Harvard_University,Yale_University
hospital,infrastructure,4.63,Hospital,Infrastructure
death,row,5.25,Death,Row_(database)
death,inmate,5.03,Death,Prisoner
lawyer,evidence,6.69,Lawyer,Evidence
life,death,7.88,Life,Death
life,term,4.50,Life,Terminology
word,similarity,4.75,Word,Similarity_(geometry)
board,recommendation,4.47,Blackboard,Recommender_system
governor,interview,3.25,Governor,Interview
OPEC,country,5.63,OPEC,Country
peace,atmosphere,3.69,Peace,Atmosphere
peace,insurance,2.94,Peace,Insurance
territory,kilometer,5.28,Sales_territory,Kilometre
travel,activity,5.00,Travel,Action_(philosophy)
competition,price,6.44,Competition,Price
consumer,confidence,4.13,Consumer,Confidence
consumer,energy,4.75,Consumer,Energy
problem,airport,2.38,Problem_solving,Airport
car,flight,4.94,Car,Flight
credit,card,8.06,Credit_(finance),Business_card
credit,information,5.31,Credit_(finance),Information
hotel,reservation,8.03,Hotel,Table_reservation
grocery,money,5.94,Grocery_store,Money
registration,arrangement,6.00,Civil_registry,Arrangement
arrangement,accommodation,5.41,Arrangement,Lodging
month,hotel,1.81,Month,Hotel
type,kind,8.97,Typification,Natural_kind
arrival,hotel,6.00,The_Arrival_(film),Hotel
bed,closet,6.72,Bed,Closet
closet,clothes,8.00,Closet,Clothing
situation,conclusion,4.81,Situationism_(psychology),Conclusion_(book)
situation,isolation,3.88,Situationism_(psychology),Solitude
impartiality,interest,5.16,Impartiality,Interest
direction,combination,2.25,Direction_(geometry),Combination
street,place,6.44,Street,Location_(geography)
street,avenue,8.88,Street,Avenue_(landscape)
street,block,6.88,Street,City_block
street,children,4.94,Street,Child
listing,proximity,2.56,Enumeration,Distance
listing,category,6.38,Enumeration,Category_of_being
cell,phone,7.81,Cell_(biology),Telephone
production,hike,1.75,Production_(economics),Hiking
benchmark,index,4.25,Benchmarking,Index_(economics)
media,trading,3.88,Media_(communication),Trade
media,gain,2.88,Media_(communication),Gain_(accounting)
dividend,payment,7.63,Dividend,Payment
dividend,calculation,6.48,Dividend,Calculation
calculation,computation,8.44,Calculation,Computation
currency,market,7.50,Currency,Market_(economics)
OPEC,oil,8.59,OPEC,Oil
oil,stock,6.34,Oil,Stock
announcement,production,3.38,Public_service_announcement,Production_(economics)
announcement,warning,6.00,Public_service_announcement,Precautionary_statement
profit,warning,3.88,Profit_(economics),Precautionary_statement
profit,loss,7.63,Profit_(economics),Loss_function
dollar,yen,7.78,Dollar,Japanese_yen
dollar,buck,9.22,Dollar,Dollar
dollar,profit,7.38,Dollar,Profit_(economics)
dollar,loss,6.09,Dollar,Loss_function
computer,software,8.50,Computer,Software
network,hardware,8.31,Social_network,Computer_hardware
phone,equipment,7.13,Telephone,Military_technology
equipment,maker,5.91,Military_technology,Makers:_The_New_Industrial_Revolution
luxury,car,6.47,Luxury_goods,Car
five,month,3.38,5_(number),Month
report,gain,3.63,Report,Gain_(accounting)
investor,earning,7.13,Investor,Earnings
liquid,water,7.89,Liquid,Water
baseball,season,5.97,Baseball,Season
game,victory,7.03,Game,Victory
game,team,7.69,Game,Team
marathon,sprint,7.47,Marathon,Sprint_(running)
game,series,6.19,Game,Series_(mathematics)
game,defeat,6.97,Game,Surrender_(military)
seven,series,3.56,7_(number),Series_(mathematics)
seafood,sea,7.47,Seafood,Sea
seafood,food,8.34,Seafood,Food
seafood,lobster,8.70,Seafood,Lobster
lobster,food,7.81,Lobster,Food
lobster,wine,5.70,Lobster,Wine
food,preparation,6.22,Food,Preparedness
video,archive,6.34,Video,Archive
start,year,4.06,Starting_lineup,Year
start,match,4.47,Starting_lineup,Match
game,round,5.97,Game,Roundness_(geology)
boxing,round,7.61,Boxing,Roundness_(geology)
championship,tournament,8.36,Championship,Tournament
fighting,defeating,7.41,Combat,Surrender_(military)
line,insurance,2.69,Line_(geometry),Insurance
day,summer,3.94,Day,Summer
summer,drought,7.16,Summer,Drought
summer,nature,5.63,Summer,Nature
day,dawn,7.53,Day,Dawn
nature,environment,8.31,Nature,Natural_environment
environment,ecology,8.81,Natural_environment,Ecology
nature,man,6.25,Nature,Man
man,woman,8.30,Man,Woman
man,governor,5.25,Man,Governor
murder,manslaughter,8.53,Murder,Manslaughter
soap,opera,7.94,Soap,Opera
opera,performance,6.88,Opera,Performance
life,lesson,5.94,Life,Lesson
focus,life,4.06,Attention,Life
production,crew,6.25,Production_(economics),Crew
television,film,7.72,Television,Film
lover,quarrel,6.19,Lover_(novel),Controversy
viewer,serial,2.97,Image_viewer,Serial_(literature)
possibility,girl,1.94,Logical_possibility,Girl
population,development,3.75,Population,Land_development
morality,importance,3.31,Morality,Value_(personal_and_cultural)
morality,marriage,3.69,Morality,Marriage
Mexico,Brazil,7.44,Mexico,Brazil
gender,equality,6.41,Gender,Social_equality
change,attitude,5.44,Change_(philosophy),Attitude_(psychology)
family,planning,6.25,Family,Planning
opera,industry,2.63,Opera,Industry
sugar,approach,0.88,Sugar,Scientific_method
practice,institution,3.19,Best_practice,Institution
ministry,culture,4.69,Ministry_(government_department),Culture
problem,challenge,6.75,Problem_solving,Challenge_(literature)
size,prominence,5.31,File_size,Topographic_prominence
country,citizen,7.31,Country,Citizenship
planet,people,5.75,Planet,People
development,issue,3.97,Land_development,Issue_(legal)
experience,music,3.47,Experience,Music
music,project,3.63,Music,Project
glass,metal,5.56,Glass,Metal
aluminum,metal,7.83,Aluminium,Metal
chance,credibility,3.88,Indeterminism,Credibility
exhibit,memorabilia,5.31,Exhibit_(educational),Souvenir
concert,virtuoso,6.81,Concert,Virtuoso
rock,jazz,7.59,Rock_music,Jazz
museum,theater,7.19,Museum,Theatre
observation,architecture,4.38,Observation,Architecture
space,world,6.53,Space,World
preservation,world,6.19,Historic_preservation,World
admission,ticket,7.69,University_and_college_admission,Electronic_ticket
shower,thunderstorm,6.31,Shower,Thunderstorm
shower,flood,6.03,Shower,Flood
weather,forecast,8.34,Weather,Forecasting
disaster,area,6.25,Disaster,Area
governor,office,6.34,Governor,Office
architecture,century,3.78,Architecture,Century
